;52;56;60;65;71;79;88;>88;94;>94;110;>110
60;20,83;20,20;19,48;18,52;17,54;16,53;15,63;14,18;15,11;14,18;14,12;13,25
61;21,18;20,54;19,81;18,83;17,84;16,80;15,89;14,42;15,37;14,42;14,35;13,47
62;21,53;20,88;20,13;19,14;18,13;17,08;16,15;14,66;15,62;14,66;14,59;13,69
63;21,88;21,21;20,45;19,44;18,42;17,36;16,41;14,89;15,87;14,89;14,82;13,91
64;22,22;21,55;20,78;19,75;18,71;17,63;16,67;15,13;16,12;15,13;15,06;14,13
65;22,57;21,89;21,10;20,06;19,01;17,91;16,93;15,37;16,37;15,37;15,29;14,35
66;22,92;22,22;21,43;20,37;19,30;18,18;17,19;15,60;16,62;15,60;15,53;14,57
67;23,26;22,56;21,75;20,68;19,59;18,46;17,45;15,84;16,88;15,84;15,76;14,79
68;23,61;22,90;22,08;20,99;19,88;18,73;17,71;16,08;17,13;16,08;16,00;15,01
69;23,96;23,23;22,40;21,30;20,18;19,01;17,97;16,31;17,38;16,31;16,24;15,23
70;24,31;23,57;22,73;21,60;20,47;19,28;18,23;16,55;17,63;16,55;16,47;15,45
71;24,65;23,91;23,05;21,91;20,76;19,56;18,49;16,78;17,88;16,78;16,71;15,67
72;25,00;24,24;23,38;22,22;21,05;19,83;18,75;17,02;18,14;17,02;16,94;15,89
73;25,35;24,58;23,70;22,53;21,35;20,11;19,01;17,26;18,39;17,26;17,18;16,11
74;25,69;24,92;24,03;22,84;21,64;20,39;19,27;17,49;18,64;17,49;17,41;16,34
75;26,04;25,25;24,35;23,15;21,93;20,66;19,53;17,73;18,89;17,73;17,65;16,56
76;26,39;25,59;24,68;23,46;22,22;20,94;19,79;17,97;19,14;17,97;17,88;16,78
77;26,74;25,93;25,00;23,77;22,51;21,21;20,05;18,20;19,40;18,20;18,12;17,00
78;27,08;26,26;25,32;24,07;22,81;21,49;20,31;18,44;19,65;18,44;18,35;17,22
79;27,43;26,60;25,65;24,38;23,10;21,76;20,57;18,68;19,90;18,68;18,59;17,44
80;27,78;26,94;25,97;24,69;23,39;22,04;20,83;18,91;20,15;18,91;18,82;17,66
81;28,13;27,27;26,30;25,00;23,68;22,31;21,09;19,15;20,40;19,15;19,06;17,88
82;28,47;27,61;26,62;25,31;23,98;22,59;21,35;19,39;20,65;19,39;19,29;18,10
83;28,82;27,95;26,95;25,62;24,27;22,87;21,61;19,62;20,91;19,62;19,53;18,32
84;29,17;28,28;27,27;25,93;24,56;23,14;21,88;19,86;21,16;19,86;19,76;18,54
85;29,51;28,62;27,60;26,23;24,85;23,42;22,14;20,09;21,41;20,09;20,00;18,76
86;29,86;28,96;27,92;26,54;25,15;23,69;22,40;20,33;21,66;20,33;20,24;18,98
